userid,score,City,Gender,Age,Objects,Balance,Products,CreditCard,Loyalty,estimated_salary,Churn
15677338,619,Ярославль,Ж,42,2,,1,1,1,101348.88,1
15690047,608,Рыбинск,Ж,41,1,83807.86,1,0,1,112542.58,0
15662040,502,Ярославль,Ж,42,8,159660.8,3,1,0,113931.57,1
15744090,699,Ярославль,Ж,39,1,,2,0,0,93826.63,0
15780624,850,Рыбинск,Ж,43,2,125510.82,1,1,1,79084.1,0
15616748,645,Рыбинск,М,44,8,113755.78,2,1,0,149756.71,1
15635267,822,Ярославль,М,50,7,,2,1,1,10062.8,0
15698884,376,Ростов Великий,Ж,29,4,115046.74,4,1,0,119346.88,1
15835101,501,Ярославль,М,44,4,142051.07,2,0,1,74940.5,0
15635125,684,Ярославль,М,27,2,134603.88,1,1,1,71725.73,0
15810557,528,Ярославль,М,31,6,102016.72,2,0,0,80181.12,0
15779909,497,Рыбинск,М,24,3,,2,1,0,76390.01,0
15675000,476,Ярославль,Ж,34,10,,2,1,0,26260.98,0
15734219,549,Ярославль,Ж,25,5,,2,0,0,190857.79,0
15643618,635,Рыбинск,Ж,35,7,,2,1,1,65951.65,0
15686702,616,Ростов Великий,М,45,3,143129.41,2,0,1,64327.26,0
15780188,653,Ростов Великий,М,58,1,132602.88,1,1,0,5097.67,1
15830954,549,Рыбинск,Ж,24,9,,2,1,1,14406.41,0
15704243,587,Рыбинск,М,45,6,,1,0,0,158684.81,0
15611718,726,Ярославль,Ж,24,6,,2,1,1,54724.03,0
15620393,732,Ярославль,М,41,8,,2,1,1,170886.17,0
15640681,636,Рыбинск,Ж,32,8,,2,1,0,138555.46,0
15742045,510,Рыбинск,Ж,38,4,,1,1,0,118913.53,1
15768473,669,Ярославль,М,46,3,,2,0,1,8487.75,0
15667783,846,Ярославль,Ж,38,5,,1,1,1,187616.16,0
15780927,577,Ярославль,М,25,3,,2,0,1,124508.29,0
15779552,756,Ростов Великий,М,36,2,136815.64,1,1,1,170041.95,0
15743508,571,Ярославль,М,44,9,,2,0,0,38433.35,0
15771429,574,Ростов Великий,Ж,43,3,141349.43,1,1,1,100187.43,0
15699036,411,Ярославль,М,29,0,59697.17,2,1,1,53483.21,0
15632211,591,Рыбинск,Ж,39,3,,3,1,0,140469.38,1
15749288,533,Ярославль,М,36,7,85311.7,1,0,1,156731.91,0
15792917,553,Ростов Великий,М,41,9,110112.54,2,0,0,81898.81,0
15702164,520,Рыбинск,Ж,42,6,,2,1,1,34410.55,0
15775699,722,Рыбинск,Ж,29,9,,2,1,1,142033.07,0
15836907,475,Ярославль,Ж,45,0,134264.04,1,1,0,27822.99,1
15831184,490,Рыбинск,М,31,3,145260.23,1,0,1,114066.77,0
15772335,804,Рыбинск,М,33,7,76548.6,1,0,1,98453.45,0
15760162,850,Ярославль,М,36,7,,1,1,1,40812.9,0
15628504,582,Ростов Великий,М,41,6,70349.48,2,0,1,178074.04,0
15662096,472,Рыбинск,М,40,4,,1,1,0,70154.22,0
15780884,465,Ярославль,Ж,51,8,122522.32,1,0,0,181297.65,1
15730682,556,Ярославль,Ж,61,2,117419.35,1,1,1,94153.83,0
15797932,834,Ярославль,Ж,49,2,131394.56,1,0,0,194365.76,1
15726907,660,Рыбинск,Ж,61,5,155931.11,1,1,1,158338.39,0
15797585,776,Ростов Великий,Ж,32,4,109421.13,2,1,1,126517.46,0
15645016,829,Ростов Великий,Ж,27,9,112045.67,1,1,1,119708.21,1
15814309,637,Ростов Великий,Ж,39,9,137843.8,1,1,1,117622.8,1
15808941,550,Ростов Великий,М,38,2,103391.38,1,0,1,90878.13,0
15814609,776,Ростов Великий,Ж,37,2,103769.22,2,1,0,194099.12,0
15659286,698,Ростов Великий,М,44,10,116363.37,2,1,0,198059.16,0
15810929,585,Ростов Великий,М,36,5,146050.97,2,0,0,86424.57,0
15726289,788,Ярославль,Ж,33,5,,2,0,0,116978.19,0
15745034,655,Ростов Великий,М,41,8,125561.97,1,0,0,164040.94,1
15612326,601,Ростов Великий,М,42,1,98495.72,1,1,0,40014.76,1
15803597,619,Ярославль,М,43,1,125211.92,1,1,1,113410.49,0
15672789,656,Ярославль,М,45,5,127864.4,1,1,0,87107.57,0
15689827,725,Ростов Великий,М,19,0,75888.2,1,0,0,45613.75,0
15666680,511,Рыбинск,Ж,66,4,,1,1,0,1643.11,1
15847507,614,Ярославль,М,51,4,40685.92,1,1,1,46775.28,0
15694016,742,Ростов Великий,М,35,5,136857.0,1,0,0,84509.57,0
15816205,687,Ростов Великий,Ж,27,9,152328.88,2,0,0,126494.82,0
15744750,555,Рыбинск,М,33,1,56084.69,2,0,0,178798.13,0
15793944,684,Рыбинск,М,56,8,78707.16,1,1,1,99398.36,0
15635197,603,Ростов Великий,М,26,4,109166.37,1,1,1,92840.67,0
15832220,751,Ростов Великий,Ж,36,6,169831.46,2,1,1,27758.36,0
15738797,581,Ростов Великий,Ж,34,1,101633.04,1,1,0,110431.51,0
15684318,735,Ростов Великий,М,43,10,123180.01,2,1,1,196673.28,0
15681160,661,Ростов Великий,Ж,35,5,150725.53,2,0,1,113656.85,0
15798384,675,Ярославль,Ж,21,8,98373.26,1,1,0,18203.0,0
15746529,738,Ростов Великий,М,58,2,133745.44,4,1,0,28373.86,1
15663080,813,Ярославль,М,29,6,,1,1,0,33953.87,0
15855254,657,Рыбинск,Ж,37,0,163607.18,1,0,1,44203.55,0
15821788,604,Ростов Великий,Ж,25,5,157780.84,2,1,1,58426.81,0
15813547,519,Ярославль,М,36,9,,2,0,1,145562.4,0
15823697,735,Ярославль,Ж,21,1,178718.19,2,1,0,22388.0,0
15656785,664,Ярославль,М,55,8,,2,1,1,139161.64,0
15704821,678,Ярославль,Ж,32,9,,1,1,1,148210.64,0
15617921,757,Рыбинск,М,33,5,77253.22,1,0,1,194239.63,0
15845872,416,Ростов Великий,Ж,41,10,122189.66,2,1,0,98301.61,0
15748757,665,Ярославль,Ж,34,1,96645.54,2,0,0,171413.66,0
15706442,777,Ярославль,Ж,32,2,,1,1,0,136458.19,1
15684468,543,Ярославль,Ж,36,3,,2,0,0,26019.59,0
15743900,506,Ярославль,Ж,34,4,90307.62,1,1,1,159235.29,0
15781487,493,Ярославль,Ж,46,4,,2,1,0,1907.66,0
15847990,652,Рыбинск,Ж,75,10,,2,1,1,114675.75,0
15805154,750,Рыбинск,М,22,3,121681.82,1,1,0,128643.35,1
15668495,729,Ярославль,М,30,9,,2,1,0,151869.35,0
15665633,646,Ярославль,Ж,46,4,,3,1,0,93251.42,1
15810690,635,Ростов Великий,Ж,28,3,81623.67,2,1,1,156791.36,0
15800271,647,Рыбинск,Ж,44,5,,3,1,1,174205.22,1
15774247,808,Ярославль,М,45,7,118626.55,2,1,0,147132.46,0
15851984,524,Ярославль,Ж,36,10,,2,1,0,109614.57,0
15683371,769,Ярославль,М,29,8,,2,1,1,172290.61,0
15719702,730,Рыбинск,М,42,4,,2,0,1,85982.47,0
15742197,515,Рыбинск,М,35,10,176273.95,1,0,1,121277.78,0
15781457,773,Рыбинск,М,41,9,102827.44,1,0,1,64595.25,0
15736419,814,Ростов Великий,М,29,8,97086.4,2,1,1,197276.13,0
15647084,710,Рыбинск,М,22,8,,2,0,0,99645.04,0
15675795,413,Ярославль,М,34,9,,2,0,0,6534.18,0
15851318,665,Ярославль,Ж,40,6,,1,1,1,161848.03,0
15785928,623,Ярославль,Ж,44,6,,2,0,0,167162.43,0
15622882,738,Ярославль,М,31,9,82674.15,1,1,0,41970.72,0
15819341,528,Рыбинск,М,36,7,,2,1,0,60536.56,0
15847655,670,Рыбинск,Ж,65,1,,1,1,1,177655.68,1
15656590,622,Рыбинск,Ж,46,4,107073.27,2,1,1,30984.59,1
15641931,582,Ростов Великий,М,32,1,88938.62,1,1,1,10054.53,0
15855614,785,Ростов Великий,Ж,36,2,99806.85,1,0,1,36976.52,0
15645048,605,Рыбинск,М,33,5,150092.8,1,0,0,71862.79,0
15787425,479,Ростов Великий,М,35,9,92833.89,1,1,0,99449.86,1
15846262,685,Ростов Великий,М,30,3,90536.81,1,0,1,63082.88,0
15708526,538,Ростов Великий,М,39,7,108055.1,2,1,0,27231.26,0
15758687,562,Ярославль,М,42,2,100238.35,1,0,0,86797.41,0
15633836,675,Рыбинск,М,36,9,106190.55,1,0,1,22994.32,0
15652354,721,Ростов Великий,М,28,9,154475.54,2,0,1,101300.94,1
15718258,628,Ростов Великий,Ж,30,9,132351.29,2,1,1,74169.13,0
15748248,668,Ростов Великий,Ж,37,6,167864.4,1,1,0,115638.29,0
15740764,506,Ярославль,Ж,41,1,,2,1,0,31766.3,0
15704406,524,Ростов Великий,Ж,31,8,107818.63,1,1,0,199725.39,1
15643517,699,Ростов Великий,М,34,4,185173.81,2,1,0,120834.48,0
15725208,828,Ярославль,М,34,8,129433.34,2,0,0,38131.77,0
15622939,674,Рыбинск,М,39,6,120193.42,1,0,0,100130.95,0
15733409,656,Ярославль,Ж,39,6,,2,1,0,141069.88,0
15802821,684,Ростов Великий,Ж,48,10,126384.42,1,1,1,198129.36,0
15822395,625,Ярославль,Ж,28,3,,1,0,0,183646.41,0
15670096,432,Ярославль,М,42,9,152603.45,1,1,0,110265.24,1
15713873,549,Ярославль,Ж,52,1,,1,0,1,8636.05,1
15825424,625,Ростов Великий,М,56,0,148507.24,1,1,0,46824.08,1
15618228,828,Ярославль,Ж,41,7,,2,1,0,171378.77,0
15634343,770,Ярославль,М,24,9,101827.07,1,1,0,167256.35,0
15783140,758,Ярославль,Ж,34,3,,2,1,1,124226.16,0
15761105,795,Ростов Великий,Ж,33,9,130862.43,1,1,1,114935.21,0
15720607,687,Ярославль,М,38,9,122570.87,1,1,1,35608.88,0
15684740,686,Ярославль,М,25,1,,2,0,1,16459.37,0
15755279,789,Ростов Великий,М,39,7,124828.46,2,1,1,124411.08,0
15627254,589,Ростов Великий,Ж,50,5,144895.05,2,1,1,34941.23,0
15845117,461,Ростов Великий,Ж,34,5,63663.93,1,0,1,167784.28,0
15652892,637,Ярославль,М,40,2,133463.1,1,0,1,93165.34,0
15637144,584,Рыбинск,Ж,48,2,213146.2,1,1,0,75161.25,1
15683641,579,Рыбинск,Ж,35,1,129490.36,2,0,1,8590.83,1
15741668,756,Ростов Великий,М,44,10,137452.09,1,1,0,189543.9,0
15767680,663,Ярославль,М,34,7,,2,1,1,180427.24,0
15670881,682,Ярославль,Ж,43,5,125851.93,1,1,1,193318.33,0
15756219,793,Рыбинск,М,52,2,,1,1,0,159123.82,1
15655086,691,Ярославль,Ж,31,5,40915.55,1,1,0,126213.84,1
15843439,485,Рыбинск,Ж,21,5,113157.22,1,1,1,54141.5,0
15748443,635,Рыбинск,Ж,29,8,138296.94,2,1,0,141075.51,0
15796841,650,Ярославль,М,37,5,106967.18,1,0,0,24495.03,0
15746000,735,Ярославль,М,44,9,120681.63,1,1,0,74836.34,0
15837149,416,Ярославль,М,32,0,,2,0,1,878.87,0
15692973,754,Рыбинск,Ж,32,7,,2,1,0,89520.75,0
15802354,535,Ярославль,Ж,48,9,,1,1,0,149892.79,1
15854325,716,Рыбинск,М,42,8,,2,1,0,180800.42,0
15731780,539,Ярославль,М,37,2,127609.59,1,1,0,98646.22,0
15752104,614,Ярославль,Ж,43,6,,2,1,1,109041.53,0
15721881,706,Рыбинск,М,57,7,,1,1,0,17941.16,1
15697743,758,Ярославль,Ж,33,7,,2,0,0,82996.47,0
15666331,586,Рыбинск,Ж,28,2,,2,1,1,92067.35,0
15632711,646,Ярославль,Ж,73,6,97259.25,1,0,1,104719.66,0
15846753,631,Ростов Великий,Ж,33,4,123246.7,1,0,0,112687.57,0
15734868,717,Рыбинск,Ж,22,6,101060.25,1,0,1,84699.56,0
15683858,684,Ярославль,М,30,2,,2,1,0,83473.82,0
15673646,800,Ярославль,Ж,49,7,108007.36,1,0,0,47125.11,0
15723508,721,Рыбинск,Ж,36,2,,2,1,1,106977.8,0
15701665,683,Рыбинск,М,29,0,133702.89,1,1,0,55582.54,1
15628124,660,Ростов Великий,М,31,9,125189.75,2,1,1,139874.43,0
15767359,704,Ростов Великий,Ж,24,7,113034.22,1,1,0,162503.48,1
15631273,615,Рыбинск,Ж,41,9,109013.23,1,1,0,196499.96,0
15617428,667,Рыбинск,Ж,39,2,,2,1,0,40721.24,1
15654061,682,Ростов Великий,М,24,9,57929.81,2,0,0,53134.3,0
15630298,484,Ярославль,Ж,29,4,130114.39,1,1,0,164017.89,0
15655908,628,Ростов Великий,М,27,5,95826.49,2,1,0,155996.96,0
15693758,480,Ростов Великий,М,44,10,129608.57,1,1,0,5472.7,1
15629046,578,Ярославль,М,30,4,169462.09,1,1,0,112187.11,0
15668260,512,Ярославль,М,40,5,,2,1,1,146457.83,0
15797945,484,Рыбинск,Ж,35,7,133868.21,1,1,1,27286.1,0
15687984,510,Ярославль,Ж,30,0,,2,1,1,130553.47,0
15833091,606,Ростов Великий,М,36,5,190479.48,2,0,0,179351.89,0
15805351,597,Рыбинск,Ж,40,8,101993.12,1,0,1,94774.12,0
15668162,754,Ростов Великий,Ж,55,3,161608.81,1,1,0,8080.85,1
15759070,850,Рыбинск,Ж,45,2,122311.21,1,1,1,19482.5,0
15832405,510,Ярославль,М,65,2,,2,1,1,48071.61,0
15663811,778,Ростов Великий,Ж,45,1,162150.42,2,1,0,174531.27,0
15853581,636,Ярославль,М,42,2,,2,1,1,55470.78,0
15762113,804,Ярославль,Ж,50,4,,1,1,1,8546.87,1
15697242,514,Ярославль,М,32,8,,2,1,0,95857.18,0
15814713,730,Ярославль,Ж,39,1,99010.67,1,1,0,194945.8,0
15751446,525,Рыбинск,Ж,37,0,,1,0,1,131521.72,0
15769412,616,Рыбинск,М,30,5,,2,0,1,196108.51,0
15630157,687,Ростов Великий,Ж,34,7,111388.18,2,1,0,148564.76,0
15769667,715,Ярославль,Ж,41,8,56214.85,2,0,0,92982.61,1
15813822,512,Ярославль,Ж,36,3,84327.77,2,1,0,17675.36,0
15799586,479,Ярославль,М,40,1,,2,0,0,114996.43,0
15745477,601,Ярославль,М,32,8,93012.89,1,1,0,86957.42,0
15721936,580,Рыбинск,М,29,9,61710.44,2,1,0,128077.8,0
15637551,807,Ярославль,М,35,3,174790.15,1,1,1,600.36,0
15678641,616,Рыбинск,Ж,32,6,,2,1,1,43001.46,0
15820628,721,Ростов Великий,М,37,3,107720.64,1,1,1,158591.12,0
15698912,501,Ярославль,М,57,10,,2,1,1,47847.19,0
15853863,521,Ярославль,М,35,6,96423.84,1,1,0,10488.44,0
15647218,850,Рыбинск,М,30,2,141040.01,1,1,1,5978.2,0
15665647,759,Ярославль,М,42,4,105420.18,1,0,1,121409.06,0
15643710,516,Рыбинск,М,50,5,,1,0,1,146145.93,1
15770604,711,Ярославль,Ж,38,2,129022.06,2,1,1,14374.86,1
15670537,512,Рыбинск,М,33,3,176666.62,1,1,0,94670.77,0
15815775,550,Ярославль,М,37,3,,1,1,1,179670.31,0
15797998,608,Рыбинск,Ж,41,3,89763.84,1,0,0,199304.74,1
15722267,618,Ярославль,М,34,5,134954.53,1,1,1,151954.39,0
15726917,643,Ярославль,М,45,5,,1,1,0,142513.5,1
15654823,671,Ярославль,М,45,2,106376.85,1,0,1,158264.62,0
15794783,689,Ростов Великий,М,33,2,161814.64,2,1,0,169381.9,0
15667328,603,Ярославль,М,31,8,,2,1,1,169915.02,0
15615888,620,Ярославль,Ж,41,9,,2,0,0,88852.47,0
15637653,676,Ярославль,Ж,34,1,63095.01,1,1,1,40645.81,0
15828278,572,Ростов Великий,М,26,4,118287.01,2,0,0,60427.3,0
15766224,668,Ростов Великий,М,47,7,106854.21,1,0,1,157959.02,1
15723656,695,Ярославль,М,46,7,49512.55,1,1,0,133007.34,0
15829044,730,Рыбинск,Ж,33,9,,2,0,0,176576.62,0
15702102,807,Ярославль,М,43,1,105799.32,2,1,0,34888.04,1
15817590,592,Ярославль,М,54,8,,1,1,1,28737.71,1
15768047,726,Ярославль,Ж,31,9,114722.05,2,1,1,98178.57,0
15829891,514,Рыбинск,М,30,7,,1,0,1,125010.24,0
15770565,567,Ярославль,М,42,2,,2,1,1,167984.61,0
15775983,850,Ярославль,М,33,10,,1,1,0,4861.72,1
15611484,671,Ростов Великий,М,45,6,99564.22,1,1,1,108872.45,1
15741765,670,Ярославль,М,37,4,170557.91,2,1,0,198252.88,0
15817129,694,Ярославль,Ж,30,9,,2,1,1,26960.31,0
15719631,547,Ростов Великий,Ж,39,6,74596.15,3,1,1,85746.52,1
15680489,751,Ростов Великий,М,50,2,96888.39,1,1,0,77206.25,1
15648197,594,Ростов Великий,Ж,29,3,130830.22,1,1,0,61048.53,0
15851209,673,Ярославль,М,72,1,,2,0,1,111981.19,0
15669736,610,Ярославль,М,40,0,,2,1,0,62232.6,0
15829910,512,Ярославль,Ж,37,1,,2,0,1,156105.03,0
15766622,767,Ростов Великий,М,20,3,119714.25,2,0,1,150135.38,0
15747505,585,Ярославль,Ж,67,5,113978.97,2,0,1,93146.11,0
15815632,763,Ростов Великий,М,42,6,100160.75,1,1,0,33462.94,1
15754276,712,Ярославль,Ж,29,2,,1,1,1,144375.0,0
15807602,539,Ростов Великий,Ж,43,3,116220.5,3,1,0,55803.96,1
15836792,668,Ярославль,Ж,46,2,,3,1,0,89048.46,1
15837885,703,Ярославль,М,28,2,81173.83,2,0,1,162812.16,0
15854745,662,Рыбинск,М,38,4,,2,1,0,136259.65,0
15693737,725,Ростов Великий,Ж,39,5,116803.8,1,1,0,124052.97,0
15856580,703,Ярославль,М,37,8,105961.68,2,0,1,74158.8,0
15638911,659,Ростов Великий,М,67,6,117411.6,1,1,1,45071.09,1
15619005,523,Рыбинск,М,34,7,,2,1,0,62030.06,0
15839955,635,Ярославль,Ж,40,10,123497.58,1,1,0,131953.23,1
15728236,772,Ростов Великий,М,26,7,152400.51,2,1,0,79414.0,0
15642528,545,Ярославль,Ж,26,1,,2,1,1,199638.56,0
15700302,634,Ростов Великий,М,24,8,103097.85,1,1,1,157577.29,0
15815159,739,Ростов Великий,М,54,8,126418.14,1,1,0,134420.75,1
15670848,771,Ростов Великий,Ж,36,5,77846.9,1,0,0,99805.99,0
15796490,587,Рыбинск,Ж,34,1,,2,1,1,97932.68,0
15836462,681,Ярославль,Ж,79,0,,2,0,1,170968.99,0
15737453,544,Ростов Великий,М,37,2,79731.91,1,1,1,57558.95,0
15708570,696,Рыбинск,М,28,8,,1,0,0,176713.47,0
15808033,766,Рыбинск,М,41,0,,2,0,1,34283.23,0
15679420,727,Ярославль,М,34,10,,2,1,1,198637.34,0
15635715,671,Ростов Великий,Ж,34,6,37266.67,2,0,0,156917.12,0
15793539,693,Ярославль,Ж,30,6,127992.25,1,1,1,50457.2,0
15649914,850,Ростов Великий,М,38,3,54901.01,1,1,1,140075.55,0
15756589,732,Ростов Великий,М,42,9,108748.08,2,1,1,65323.11,0
15716217,726,Рыбинск,Ж,48,6,99906.19,1,1,0,64323.24,0
15729512,557,Ярославль,Ж,32,6,184686.41,2,1,0,14956.44,0
15716429,682,Ярославль,Ж,26,0,110654.02,1,0,1,111879.21,0
15743432,738,Рыбинск,М,31,9,79019.8,1,1,1,18606.23,0
15855899,531,Рыбинск,Ж,36,9,99240.51,1,1,0,123137.01,0
15696593,498,Ярославль,М,34,2,,2,1,1,148528.24,0
15819812,651,Ярославль,М,36,7,,2,1,0,13898.31,0
15760134,549,Рыбинск,Ж,39,7,,1,0,0,81259.25,1
15841953,791,Ростов Великий,Ж,35,7,52436.2,1,1,0,161051.75,0
15829807,650,Рыбинск,М,41,9,,2,0,1,191599.67,0
15662691,733,Ростов Великий,М,34,3,100337.96,3,1,0,48559.19,1
15839241,811,Ростов Великий,Ж,34,1,149297.19,2,1,1,186339.74,0
15767902,707,Ярославль,М,30,8,,2,1,0,33159.37,0
15842852,712,Ростов Великий,М,28,4,145605.44,1,0,1,93883.53,0
15801421,706,Рыбинск,Ж,37,7,,2,1,1,110899.3,0
15737192,756,Ярославль,М,62,3,,1,1,1,11199.04,1
15810075,777,Ярославль,Ж,53,10,,2,1,0,189992.97,0
15726298,646,Ярославль,М,35,6,84026.86,1,0,1,164255.69,0
15824946,714,Ярославль,М,46,1,,1,1,0,152167.79,1
15711629,782,Ярославль,М,39,8,,2,1,1,33949.67,0
15711905,775,Рыбинск,М,29,10,,2,1,1,68143.93,0
15685760,479,Ростов Великий,М,35,4,138718.92,1,1,1,47251.79,1
15742125,807,Ярославль,М,42,7,118274.71,1,1,1,25885.72,0
15751344,799,Ярославль,Ж,22,8,174185.98,2,0,1,192633.85,0
15668880,675,Ярославль,М,40,7,113208.86,2,1,0,34577.36,0
15615848,602,Рыбинск,М,29,5,103907.28,1,1,0,161229.84,0
15833414,475,Ярославль,Ж,32,8,119023.28,1,1,0,100816.29,0
15770292,744,Рыбинск,Ж,26,5,166297.89,1,1,1,181694.44,0
15740043,588,Рыбинск,М,34,10,,2,1,0,79078.91,0
15695002,703,Ростов Великий,М,42,9,63227.0,1,0,1,137316.32,0
15649834,747,Рыбинск,Ж,41,5,94521.17,2,1,0,194926.86,0
15698510,583,Ярославль,М,27,7,,2,1,0,51285.49,0
15632977,750,Рыбинск,Ж,34,9,112822.26,1,0,0,150401.53,1
15828555,681,Ярославль,М,38,3,,2,1,1,112491.96,0
15766390,773,Ярославль,М,25,2,135903.33,1,1,0,73656.38,0
15817246,714,Ярославль,Ж,31,4,125169.26,1,1,1,106636.89,0
15726909,687,Рыбинск,Ж,44,7,,3,1,0,155853.52,1
15692804,511,Ярославль,М,58,0,149117.31,1,1,1,162599.51,0
15854226,627,Ярославль,М,33,5,,2,1,1,103737.82,0
15846712,694,Ярославль,Ж,31,10,,2,1,0,160990.27,0
15725277,616,Рыбинск,Ж,36,6,132311.71,1,0,0,15462.84,0
15738435,687,Ярославль,М,35,8,,2,1,0,10334.05,0
15666924,712,Ярославль,Ж,33,6,,2,1,1,190686.16,0
15854927,553,Ярославль,М,33,4,118082.89,1,0,0,94440.45,0
15679409,667,Ярославль,М,31,1,119266.69,1,1,1,28257.63,0
15637634,731,Ярославль,М,43,2,,1,1,1,170034.95,1
15702947,629,Ростов Великий,М,35,7,156847.29,2,1,0,31824.29,0
15816708,614,Ярославль,М,50,4,137104.47,1,1,0,127166.49,1
15789462,438,Ростов Великий,М,31,8,78398.69,1,1,0,44937.01,0
15755023,652,Ярославль,Ж,80,4,,2,1,1,188603.07,0
15745655,729,Ростов Великий,М,30,6,63669.42,1,1,0,145111.37,0
15717134,642,Ярославль,М,38,3,,2,0,0,171463.83,0
15840696,806,Ростов Великий,Ж,59,0,135296.33,1,1,0,182822.5,0
15674604,744,Рыбинск,М,36,2,153804.44,1,1,1,87213.33,0
15624275,474,Рыбинск,М,37,3,,2,0,0,57175.32,0
15705472,559,Ярославль,М,49,2,147069.78,1,1,0,120540.83,1
15708988,706,Рыбинск,М,42,9,,2,1,1,28714.34,0
15720248,628,Рыбинск,Ж,22,3,,1,1,0,85426.28,0
15668850,429,Ярославль,М,24,4,95741.75,1,1,0,46170.75,0
15853570,525,Рыбинск,Ж,57,2,145965.33,1,1,1,64448.36,0
15721646,680,Ярославль,Ж,30,8,141441.75,1,1,1,16278.97,0
15737144,749,Ярославль,М,40,1,139290.41,1,1,0,182855.42,1
15627951,763,Ярославль,Ж,31,4,,2,0,0,50404.72,0
15725493,734,Ярославль,М,30,3,,2,1,0,107640.25,0
15779337,716,Ярославль,М,35,4,144428.87,1,1,0,134132.65,0
15644584,594,Ярославль,М,35,2,,2,1,0,103480.69,0
15778744,644,Ярославль,Ж,46,9,95441.27,1,1,0,108761.05,1
15711800,671,Ростов Великий,М,35,1,144848.74,1,1,1,179012.3,0
15667264,664,Ростов Великий,М,26,7,116244.14,2,1,1,95145.14,0
